class_name,quest_type,frequency,realm,quest_title,min_level,max_level,kill_quota,mob_name,npc_name,npc_var,npc_guild,npc_model,npc_region,npc_x,npc_y,npc_z,npc_heading,npc_location_comment,counter_var,dialog_intro,dialog_lore,dialog_call_to_action,dialog_in_progress,dialog_accepted,dialog_decline,dialog_reward,whisper_accept,whisper_finish,description_step1,required_faction,reward_faction
LyonesseCrabQuestAlb,pve,daily,Albion,Crab Infestation,40,50,10,Lyonesse Crab,James,James,Advisor To The King,254,51,534044,549664,4940,3143,Caer Gothwaite,crabsKilled,Giant crabs from Lyonesse have been raiding our coastal supply routes.,They grow enormous in the salt marshes and their claws can cut through steel armor.,Can you [cull the crabs] and restore safe passage?,You will find the Lyonesse Crabs near the western coast of Lyonesse.,Good hunting champion. Albion counts on you.,Thank you for your time.,Well done! The supply routes are clear again.,cull the crabs,finished the job,Kill Lyonesse Crabs on the western shores.,,
LyonesseSatyrQuestAlb,pve,daily,Albion,Satyr Stampede,40,50,8,Lyonesse Satyr,James,James,Advisor To The King,254,51,534044,549664,4940,3143,Caer Gothwaite,satyrsKilled,Satyrs from the woodlands are terrorizing the farmers of Lyonesse.,Left unchecked they will drive every settler from the region.,Can you [stop the satyrs] before they cause more damage?,Head into the Lyonesse woodlands and cut down the satyrs.,May your blade strike true champion.,I understand. Perhaps another day.,Excellent! The farmers send their thanks.,stop the satyrs,all satyrs cleared,Hunt down Lyonesse Satyrs in the woodlands.,,
LyonesseSprigganQuestAlb,pve,daily,Albion,Spriggan Menace,40,50,12,Spriggan,James,James,Advisor To The King,254,51,534044,549664,4940,3143,Caer Gothwaite,spriggansKilled,Spriggans have grown bold and are attacking travelers on the road to Lyonesse.,They guard old barrows in the hills and view any passage as an intrusion.,Can you [drive back the spriggans] and make the roads safe again?,The spriggans are found near the old barrows in the hills of Lyonesse.,For Albion! Now go.,Travel safely champion.,The roads are safer thanks to you!,drive back the spriggans,roads cleared,Drive back the Spriggans near the barrows of Lyonesse.,,
LyonesseBogmanQuestAlb,pve,daily,Albion,Bog Raiders,40,50,10,Bog Man,James,James,Advisor To The King,254,51,534044,549664,4940,3143,Caer Gothwaite,bogmenKilled,Bog Men have risen from the marshes and attacked a patrol of Albion soldiers.,They crawl from the wetlands at dusk and drag men into the murk.,Can you [purge the bogs] and avenge our fallen soldiers?,Search the bogs of Lyonesse for the Bog Men.,Go with the blessings of the king.,Another time perhaps.,The marshes are quieter now. Well done.,purge the bogs,bogs cleared,Purge the Bog Men from the marshes of Lyonesse.,,
LyonesseWolfQuestAlb,pve,daily,Albion,Wolf Pack,40,50,15,Lyonesse Wolf,James,James,Advisor To The King,254,51,534044,549664,4940,3143,Caer Gothwaite,wolvesKilled,Packs of wolves from the highlands are descending on Lyonesse settlements.,The pack leader seems to drive them to ever greater aggression.,Can you [thin the wolf packs] before more settlers are lost?,Find the wolves in the highlands north of Lyonesse.,Speed and silence champion.,As you wish. Farewell.,The howling has stopped. Fine work!,thin the wolf packs,wolves thinned,Thin the wolf packs threatening Lyonesse settlements.,,
LyonesseSpriteQuestAlb,pve,daily,Albion,Sprite Plague,40,50,10,Cornish Sprite,James,James,Advisor To The King,254,51,534044,549664,4940,3143,Caer Gothwaite,spritesKilled,Cornish Sprites have been stealing livestock and sabotaging farms across Lyonesse.,Small but cunning they use illusions to confuse our soldiers.,Can you [root out the sprites] and put a stop to their mischief?,The Cornish Sprites are found near farmsteads in central Lyonesse.,Go with the king's blessing.,Farewell champion.,Remarkable! The farmers can rest easy tonight.,root out the sprites,sprites routed,Root out the Cornish Sprites troubling the Lyonesse farmsteads.,,
LyonesseGhostQuestAlb,pve,weekly,Albion,Restless Spirits of Lyonesse,40,50,20,Lyonesse Ghost,James,James,Advisor To The King,254,51,534044,549664,4940,3143,Caer Gothwaite,ghostsKilled,Ancient spirits have awoken across Lyonesse and refuse to pass on.,They once served a lord who betrayed Albion long ago and remain bound to their dishonor.,Their presence corrupts the land and drives away settlers.,Can you [banish the spirits] and let them finally rest?,Travel the ruins of Lyonesse and put the restless ghosts to rest.,Go and bring peace to the fallen.,The dead deserve their rest. Farewell.,banish the spirits,spirits at rest,Banish the Lyonesse Ghosts haunting the ruins across the region.,,
HardcoreOrangesAlbAvalon,hardcore,daily,Albion,Trial of Champions,1,49,10,,James,James,Advisor To The King,254,51,534044,549664,4940,3143,Caer Gothwaite,orangesKilled,I have foreseen your end. Fallen beneath a foe of greater power in the heart of Avalon.,,,Seek out creatures greater in strength than you and cast them into the abyss.,Return and tell me of your survival.,The titans shall tremble.,Seek out creatures greater in strength than you and cast them into the abyss.,today is not the day,another sunrise,Kill orange-con or higher monsters in the realm. Solo only.,,
PlayerKillQuestAlbAvalon,rvr,daily,Albion,Proving Grounds,40,50,5,,James,James,Advisor To The King,254,51,534044,549664,4940,3143,Caer Gothwaite,playersKilled,The frontiers are calling and Albion needs fighters with proven mettle.,Only by besting the warriors of Hibernia and Midgard can we secure our borders.,Will you [answer the call] and prove yourself in battle?,Head to the frontiers or battlegrounds to find worthy opponents.,For Albion! Seek out the enemy and do not return until five are slain.,Albion thanks you for your time.,Your deeds echo across the realm. Well done.,answer the call,answered the call,Defeat enemy realm players in the frontiers or battlegrounds.,,
LyonesseAraneidaeQuestAlb,pve,daily,Albion,Spider Infestation,40,50,12,Araneid,James,James,Advisor To The King,254,51,534044,549664,4940,3143,Caer Gothwaite,spidersKilled,Giant Araneids have woven their webs across the southern roads of Lyonesse.,Travelers are vanishing and trade has come to a standstill.,Can you [clear the webs] and reopen the southern passage?,The Araneids nest in the southern thickets of Lyonesse. Be wary of their silk.,May your blade not stick in their webs champion.,Farewell and safe travels.,The roads are open once more! Excellent work.,clear the webs,webs cleared,Clear the Araneid nests blocking the southern roads of Lyonesse.,,
